BBLCOUNT        1.0         0
0x40d708 1 7 31
0x40d6f3 2 5 21
0x40d67a 4 8 15
0x40d7dd 5 3 11
0x40d7c4 8 5 25
0x40d7c0 15 2 4
0x4033c0 0 9 37
0x40430c 1 2 9
0x4031df 1 3 14
0x412272 2 1 5
0x412277 2 2 4
0x41227b 2 2 8
0x412300 2 4 9
0x412309 2 1 5
0x41230e 2 2 4
0x412312 2 3 9
0x411060 18 3 9
0x412283 2 2 4
0x412287 0 1 5
0x4122dc 2 6 26
0x411150 14 7 28
0x40e8db 1 8 31
0x40e8c0 2 6 27
0x40dbfe 0 1 5
0x4037a0 1 5 18
0x4031df 0 3 14
0x4031c9 1 4 22
0x40399e 0 3 26
0x403995 1 2 9
0x4044f6 1 1 5
0x4044ed 1 2 9
0x4044e3 1 2 10
0x40399e 0 3 26
0x40397b 0 6 35
0x403972 1 2 9
0x40ca12 1 6 25
0x40c9ed 0 2 10
0x40406b 1 2 13
0x40e920 1 5 15
0x4031ed 1 3 15
0x40e8fa 2 6 23
0x40805b 1 1 5
0x407fd2 1 4 22
0x407fe8 1 8 19
0x407c46 1 1 2
0x403dc5 1 1 5
0x40343b 1 2 8
0x403443 1 2 9
0x40344c 1 2 8
0x403454 1 4 23
0x40346b 0 4 21
0x403480 0 2 10
0x40c9e2 1 4 11
0x404078 0 2 9
0x404081 0 2 14
0x404102 1 2 13
0x40410f 1 3 16
0x40411f 0 2 8
0x404222 1 2 11
0x41116c 14 7 28
0x41106e 18 2 2
0x411069 18 2 5
0x40a570 1 5 26
0x411d70 2 6 27
0x411d8b 2 4 14
0x412250 2 6 27
0x402a60 0 5 23
0x40a5b1 1 4 15
0x402ada 1 3 17
0x402ad0 1 3 10
0x402acb 1 2 5
0x404930 1 2 9
0x404939 1 3 9
0x4048c0 1 6 21
0x4048d5 1 2 2
0x404942 1 3 10
0x402ab5 1 5 22
0x402ab5 0 5 22
0x402aac 0 2 9
0x402aa4 1 3 8
0x402a8f 1 3 21
0x40a5ad 1 2 4
0x402a58 1 3 8
0x4029d5 1 16 131
0x4029ac 1 3 19
0x4029a4 1 2 8
0x40299a 1 2 10
0x402990 1 2 5
0x40298b 1 2 5
0x40293d 1 10 78
0x41245c 1 3 10
0x412450 1 3 12
0x402929 1 3 20
0x40291f 1 2 10
0x402910 1 3 15
0x411db8 2 6 21
0x40cad6 1 7 31
0x40cacc 1 2 10
0x40cac0 1 3 12
0x40cab6 1 2 10
0x40caaa 1 3 12
0x40caa0 1 2 10
0x40c9b1 0 5 23
0x40c9aa 0 3 7
0x40c980 1 10 42
0x40395d 1 5 21
0x403953 1 2 10
0x411d99 2 5 12
0x411da5 2 2 4
0x411da9 0 2 5
0x41226b 2 3 7
0x40a58a 1 2 4
0x40a58e 0 2 9
0x40a597 0 1 5
0x40a5a1 1 2 12
0x4031df 0 3 14
0x4031c9 0 4 22
0x4031bb 1 2 14
0x402b6e 0 2 10
0x402b62 0 3 12
0x402b59 1 2 9
0x402b29 1 11 48
0x402afe 0 7 23
0x402aeb 1 4 19
0x41240d 1 3 9
0x403278 0 5 25
0x40327f 1 4 18
0x4123b0 1 16 71
0x4123f7 1 2 5
0x4123fc 1 5 17
0x404950 1 2 10
0x404975 1 1 5
0x4048f0 1 11 37
0x404915 1 2 2
0x40326f 0 2 9
0x412416 1 8 35
0x403291 1 2 13
0x40329e 1 3 20
0x4032b2 1 2 13
0x4032bf 0 2 13
0x4032cc 0 3 15
0x4028d0 1 14 49
0x40d8a0 1 4 9
0x4031fc 1 2 9
0x406214 11 9 38
0x40620f 11 2 5
0x40620a 11 1 5
0x406370 11 3 15
0x4055cb 11 8 15
0x4055b5 11 4 22
0x4055cb 0 8 15
0x4055ab 0 6 32
0x4055a1 11 2 10
0x40d8a9 1 2 10
0x403205 1 3 11
0x404888 1 11 41
0x403210 0 5 22
0x403246 1 2 7
0x40e8db 1 8 31
0x40324d 1 5 25
0x40e940 1 18 55
0x403266 1 2 9
0x407ee4 1 17 78
0x4066f4 11 2 9
0x4066e7 11 2 13
0x40668f 11 1 2
0x406679 0 3 14
0x406670 11 2 9
0x4066c0 11 9 39
0x407f7e 11 8 33
0x407f6b 1 4 19
0x407f32 1 7 26
0x4066fd 0 3 18
0x407bd2 1 7 12
0x405628 0 2 8
0x405624 0 2 4
0x40561c 6 2 8
0x4057ac 60 5 19
0x40563c 0 9 48
0x405630 21 3 12
0x405628 21 2 8
0x40625d 0 2 13
0x40d8b3 1 2 5
0x40d8b8 1 5 16
0x40d8c8 0 4 16
0x40d903 1 4 16
0x406358 11 5 24
0x40619a 0 4 18
0x406191 0 2 9
0x406185 11 3 12
0x40495a 0 3 10
0x406250 0 2 13
0x406240 11 3 16
0x406185 0 3 12
0x406174 0 3 17
0x406140 11 12 52
0x406761 11 5 15
0x406739 0 8 40
0x406730 11 2 9
0x4052cc 0 5 16
0x4052dc 10 4 7
0x407fb2 1 4 21
0x407fc7 0 7 33
0x407f50 10 7 27
0x4052ab 7 3 12
0x405240 10 7 17
0x406770 11 4 13
0x405251 0 1 5
0x4052ab 10 3 12
0x4052b7 0 5 21
0x4052b7 0 5 21
0x405260 17 10 28
0x40527c 3 4 17
0x4052a6 14 2 5
0x4052f7 14 1 2
0x4052ed 14 2 10
0x4052dc 0 4 7
0x40528d 0 10 30
0x4052e8 14 2 5
0x4052cc 0 5 16
0x4052bb 14 4 17
0x407f6b 10 4 19
0x40677d 0 4 21
0x406798 11 4 26
0x408051 1 2 10
0x4052b7 0 5 21
0x4052ab 0 3 12
0x405298 3 7 19
0x4052f9 3 2 10
0x407f9f 11 4 19
0x4067b2 11 4 10
0x405303 3 2 9
0x41246c 1 3 9
0x7fc1aabd2f5d 1 2 5
0x7fc1aabd2f58 0 1 5
0x7fc1aabd2f48 1 4 16
0x7fc1aabd30d0 1 1 6
0x7fc1aabd30d6 1 2 10
0x7fc1aabd2f70 1 2 12
0x7fc1aabd3167 1 2 12
0x7fc1aabd313b 1 2 2
0x7fc1aabd3110 1 12 43
0x7fc1aabd3178 1 3 10
0x7fc1aabd30fb 1 2 2
0x7fc1aabd30e0 1 7 27
0x7fc1aabd3173 1 1 5
0x7fc1aabd31b9 1 1 5
0x7fc1aabd31a6 0 4 13
0x7fc1aabd3159 1 4 14
0x7fc1aabd3150 1 2 9
0x7fc1aabd3190 1 2 10
0x7fc1aabd319a 0 3 12
0x7fc1aabd51ac 1 3 9
0x7fc1aaddc378 1 2 9
0x7fc1aaddc381 1 2 5
0x7fc1aaddc7a0 1 1 6
0x7fc1aaddc6f6 1 2 10
0x7fc1aaddc6f0 1 1 6
0x7fc1aaddc7e0 1 1 6
0x7fc1aaddc7e6 1 2 10
0x7fc1aaddc7a6 1 2 10
0x7fc1aaddc390 5 2 12
0x7fc1aaddc756 1 2 10
0x7fc1aaddc750 1 1 6
0x7fc1aaddc640 1 1 6
0x7fc1aaddc646 1 2 10
0x7fc1aaddd700 1 7 27
0x7fc1aaddd71b 1 2 2
