bb;bb;icount;execcount;ilen;len;nhmnp1;nhmnp1err;nhmnp1werr;nhmlbr2;nhmlbr2err;nhmlbr2werr;nhmlbr1;nhmlbr1err;nhmlbr1werr;nhmnp2;nhmnp2err;nhmnp2werr
9486;9486;16;8;2;5;0;1.0;8.0;0.0;1.0;8.0;0.0;1.0;8.0;0;1.0;8.0
9512;9512;24;8;3;5;11999988;1499997.5;11999980.0;0.0;1.0;8.0;0.0;1.0;8.0;11999988;1499997.5;11999980.0
10512;10512;208;16;13;49;0;1.0;16.0;0.0;1.0;16.0;0.0;1.0;16.0;0;1.0;16.0
10576;10576;80;16;5;14;0;1.0;16.0;0.0;1.0;16.0;0.0;1.0;16.0;0;1.0;16.0
10590;10590;80;16;5;19;400000;24999.0;399984.0;0.0;1.0;16.0;0.0;1.0;16.0;400000;24999.0;399984.0
11104;11104;45;5;9;35;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11139;11139;10;5;2;6;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11145;11145;30;5;6;25;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11178;11178;30;5;6;21;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11231;11231;30;5;6;23;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11289;11289;15;5;3;10;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11299;11299;10;5;2;5;1000000;199999.0;999995.0;0.0;1.0;5.0;0.0;1.0;5.0;1000000;199999.0;999995.0
11824;11824;45;5;9;37;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11861;11861;10;5;2;6;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11867;11867;4;4;1;4;0;1.0;4.0;0.0;1.0;4.0;0.0;1.0;4.0;0;1.0;4.0
11871;11871;15;5;3;11;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11882;11882;25;5;5;22;0;1.0;5.0;0.0;1.0;5.0;0.0;1.0;5.0;0;1.0;5.0
11904;11904;2;1;2;8;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
11912;11912;4;1;4;14;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
11926;11926;1;1;1;2;0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0;1.0;1.0
12320;12320;91;7;13;57;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12377;12377;14;7;2;7;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
12384;12384;42;7;6;24;0;1.0;7.0;0.0;1.0;7.0;0.0;1.0;7.0;0;1.0;7.0
